,Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,LongevidadeIDHM,AlfabIDHM,RendaIDHM
32,350270505000033,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.6833333333333330,0.967741935483871,0.4103026706434930
33,350270505000034,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.9,0.9590643274853800,0.4563644220587170
34,350270505000035,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.8833333333333330,0.9630883895944140,0.4985361739127160
35,350270505000036,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.85,0.9526515151515150,0.46542319122267400
36,350270505000037,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,,,
37,350270505000038,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.8333333333333330,0.9516545366327030,0.47038475196070800
38,350270505000039,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.7666666666666670,0.9437332406838250,0.390506636459169
39,350270505000040,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.8666666666666670,0.9351684172401300,0.4837008978107630
40,350270510000001,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270510,ARAÇAÍBA,35027051000,ARAÇAÍBA,3502705000,APIAÍ (todos os setores),1,0,0.8,0.9635660114533350,0.42392329077209700
41,350270510000002,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270510,ARAÇAÍBA,35027051000,ARAÇAÍBA,3502705000,APIAÍ (todos os setores),1,0,0.85,0.9442310860995980,0.4214509188437110
